Pubdate,Artikel_Titel,Teaser,Artikel_URL,Image_URL,Kategorie,Region,Latitude,Longitude
21.08.2014,Thailands Juntachef läßt sich zum Ministerpräsidenten wählen,Drei Monate nach dem Militärputsch in Thailand übernimmt Juntachef Prayuth Chan-ocha die Regierungsgeschäfte. Die vom Militär eingesetzte gesetzgebende Versammlung wählte ihn zum Ministerpräsidenten. ,http://www.dw.de/thailands-juntachef-l%C3%A4%C3%9Ft-sich-zum-ministerpr%C3%A4sidenten-w%C3%A4hlen/a-17868719,"http://www.dw.de/image/0,,17704251_303,00.jpg",Ausland,Asien,13.744866,100.529787
21.08.2014,Liberia: Gewalt bei Ebola-Bekämpfung,Die Sicherheitskräfte in Liberia haben mit scharfer Munition und Tränengas die Einhaltung einer Ebola-Quarantäne in der Hauptstadt Monrovia durchgesetzt. Die Epidemie fordert immer mehr Opfer. ,http://www.dw.de/liberia-gewalt-bei-ebola-bek%C3%A4mpfung/a-17868706,"http://www.dw.de/image/0,,17868386_303,00.jpg",Krise,Afrika,6.327300,-10.806400
20.08.2014,US-Justizminister Holder sichert in Ferguson faire Untersuchung zu,"Seit dem Tod eines schwarzen Teenagers in Ferguson prägen Unruhen das Bild der US-Kleinstadt. Um die Lage zu entschärfen, stattete Justizminister Holder dem Ort einen Besuch ab - mit einem Versprechen im Gepäck.",http://www.dw.de/us-justizminister-holder-sichert-in-ferguson-faire-untersuchung-zu/a-17868605,"http://www.dw.de/image/0,,17868609_303,00.jpg",Krise,Nordamerika,38.738.990,-90.275374
21.08.2014,In Islands Vulkan Bárðarbunga brodelt es,Europa schaut ängstlich nach Island: Seit Samstag bebt die Erde rund um einen der größten Vulkane dort. Könnte bald eine neue Aschewolke Europas Flugverkehr lahmlegen? Die Antwort gibt's hier. ,http://www.dw.de/in-islands-vulkan-b%C3%A1r%C3%B0arbunga-brodelt-es/a-17867760,"http://www.dw.de/image/0,,17867166_303,00.jpg",Naturkatastrophe,Europa,63.636770,-19.609823
21.08.2014,Tausende Rebellen maschieren in Jemens Hauptstadt ein,Seit Jahren kämpfen schiitische Huthi-Rebellen im Jemen für ihre Unabhängigkeit. Jetzt haben sich Zehntausende von ihnen vor der Hauptstadt Sanaa versammelt. Sie drohen die Regierung zu stürzen. ,http://www.dw.de/tausende-rebellen-maschieren-in-jemens-hauptstadt-ein/a-17869670,"http://www.dw.de/image/0,,17869636_303,00.jpg",Ausland,Afrika,15.369445,44.191007
21.08.2014,Tote durch unbekannte Fieberkrankheit im Kongo,Inmitten der Ebola-Epidemie sorgt das Auftauchen einer bisher unbekannten Fiebererkankung für neue Besorgnisse. In den Ebola-Gebieten befürchten Experten eine Hungerkrise.,http://www.dw.de/tote-durch-unbekannte-fieberkrankheit-im-kongo/a-17870693,"http://www.dw.de/image/0,,17869000_303,00.jpg",Krise,Afrika,-0.733333,19.200000
21.08.2014,Gladbach auf dem Weg nach Europa,Borussia Mönchengladbach sichert sich im Hinspiel der Europa-League-Qualifikation eine gute Ausgangsposition für die Teilnahme an der Gruppenphase. In Sarajevo gelingt ein knapper Sieg.,http://www.dw.de/gladbach-auf-dem-weg-nach-europa/a-17870690,"http://www.dw.de/image/0,,17870686_303,00.jpg",Sport,Europa,43.846579,18.387355
22.08.2014,Malaysische MH17-Absturzopfer in Kuala Lumpur,Fünf Wochen nach der MH17-Katastrophe sind die sterblichen Überreste von 20 malaysischen Insassen nach Kuala Lumpur übergeführt worden Die Ankunft der Särge stürzt ganz Malaysia noch einmal in kollektive Trauer. ,http://www.dw.de/malaysische-mh17-absturzopfer-in-kuala-lumpur/a-17870870,"http://www.dw.de/image/0,,17870817_303,00.jpg",Ausland,Asien,2.753363,101.705003
20.08.2014,Schönes neues Thailand?,"Drei Monate nachdem das Militär geputscht hat, formen die neuen Machthaber Thailand nach ihren Vorstellungen. Ihr Ziel: Sie wollen das gespaltene Land einen. Doch Experten sind skeptisch, ob das gelingen kann.",http://www.dw.de/sch%C3%B6nes-neues-thailand/a-17867700,"http://www.dw.de/image/0,,17662391_303,00.jpg",Ausland,Asien,13.744866,100.529787
22.08.2014,Russischer Hilfskonvoi fährt ohne Erlaubnis in die Ukraine,Die russische Regierung hat ihren seit Tagen an der Grenze festsitzenden Hilfskonvoi ohne das Einverständnis Kiews in die Ukraine geschickt. Die ersten Lastwagen überquerten eigenmächtig die Grenzlinie. ,http://www.dw.de/russischer-hilfskonvoi-f%C3%A4hrt-ohne-erlaubnis-in-die-ukraine/a-17871215,"http://www.dw.de/image/0,,17871476_303,00.jpg",Krise,Europa,48.290950,39.909838
